Date,Fuel Type,avg_stock_pct,avg_sales_litres,avg_deliveries_litres
2020-01-27,Diesel,47.7150266169004,10836.614130434782,9877.271739130434
2020-01-27,Petrol,42.884031249689016,6990.233695652174,6855.396739130435
2020-01-27,Total,45.18963236352751,17826.880434782608,16732.71195652174
2020-01-28,Diesel,47.39116031929595,11055.70652173913,10760.809782608696
2020-01-28,Petrol,42.91798774301067,7092.625,7092.679347826087
2020-01-28,Total,45.05813297484337,18148.32608695652,17853.46195652174
2020-01-29,Diesel,46.61107006472559,11023.521739130434,10382.842391304348
2020-01-29,Petrol,43.05695421820494,7070.347826086957,7108.521739130435
2020-01-29,Total,44.752863526642386,18093.804347826088,17491.402173913044
2020-01-30,Diesel,46.11893667647244,10976.625,10535.010869565218
2020-01-30,Petrol,43.20950451425817,7157.869565217391,7173.690217391304
2020-01-30,Total,44.602229667356724,18134.45108695652,17708.722826086956
2020-01-31,Diesel,44.92588511413714,11524.820652173914,10656.739130434782
2020-01-31,Petrol,42.27038714963911,8169.592391304348,7419.163043478261
2020-01-31,Total,43.53852546264858,19694.41304347826,18075.907608695652
2020-02-01,Diesel,45.83321153131421,8528.842391304348,9207.853260869566
2020-02-01,Petrol,41.29490397131312,7759.902173913043,6863.211956521739
2020-02-01,Total,43.441997143094206,16288.771739130434,16071.059782608696
2020-02-02,Diesel,47.097006247904226,7224.66847826087,8103.184782608696
2020-02-02,Petrol,40.904017098312785,6666.396739130435,6231.326086956522
2020-02-02,Total,43.82869916663384,13891.08152173913,14334.527173913044
2020-02-03,Diesel,46.1883268052366,10956.929347826086,10395.157608695652
2020-02-03,Petrol,40.9624006240631,7036.58152173913,7189.407608695652
2020-02-03,Total,43.44813823141296,17993.434782608696,17584.581521739132
2020-02-04,Diesel,46.04999081650759,10997.717391304348,10762.380434782608
2020-02-04,Petrol,41.715059918782984,6938.0,7489.635869565217
2020-02-04,Total,43.754746549628656,17935.744565217392,18252.03804347826
2020-02-05,Diesel,46.782885050148906,10880.125,11439.842391304348
2020-02-05,Petrol,42.301024590268646,7049.304347826087,7517.972826086957
2020-02-05,Total,44.41945898389662,17929.5,18957.83695652174
2020-02-06,Diesel,47.0567812689041,11073.239130434782,11247.260869565218
2020-02-06,Petrol,43.16323963252443,7320.54347826087,7917.853260869565
2020-02-06,Total,45.00449965345124,18393.777173913044,19165.157608695652
2020-02-07,Diesel,46.6993026812365,11507.173913043478,11351.239130434782
2020-02-07,Petrol,43.15689104535947,8029.059782608696,8033.847826086957
2020-02-07,Total,44.87067159154693,19536.206521739132,19385.070652173912
2020-02-08,Diesel,48.09471941826828,8298.657608695652,9278.20652173913
2020-02-08,Petrol,42.46295546392981,7475.33152173913,6845.413043478261
2020-02-08,Total,45.14129421955092,15774.032608695652,16123.652173913044
2020-02-09,Diesel,51.16155856398941,6077.940217391304,8367.08695652174
2020-02-09,Petrol,44.2826092547791,5151.809782608696,6633.548913043478
2020-02-09,Total,47.53701018163777,11229.782608695652,15000.646739130434
2020-02-10,Diesel,49.78692770929895,11073.608695652174,10107.320652173914
2020-02-10,Petrol,44.166746334787774,6955.983695652174,6863.114130434783
2020-02-10,Total,46.83185247527174,18029.652173913044,16970.375
2020-02-11,Diesel,49.30303147244157,11172.679347826086,10663.445652173914
2020-02-11,Petrol,44.66848546911401,6908.195652173913,7216.489130434783
2020-02-11,Total,46.86361740754336,18080.83695652174,17879.918478260868
2020-02-12,Diesel,48.98893710762119,11219.396739130434,10856.978260869566
2020-02-12,Petrol,44.7687996934011,7141.521739130435,7171.255434782609
2020-02-12,Total,46.737804472693945,18360.96195652174,18028.271739130436
2020-02-13,Diesel,48.18789965803476,11306.929347826086,10852.619565217392
2020-02-13,Petrol,44.61507787519879,7281.608695652174,7123.652173913043
2020-02-13,Total,46.29266520804953,18588.608695652172,17976.255434782608
2020-02-14,Diesel,46.670462070175475,11432.722826086956,10276.989130434782
2020-02-14,Petrol,43.397584573070155,7951.826086956522,6863.66847826087
2020-02-14,Total,44.95789662742373,19384.53804347826,17140.739130434784
2020-02-15,Diesel,48.048243086367926,7725.641304347826,8735.71195652174
2020-02-15,Petrol,42.851850297817656,6607.0,6042.739130434783
2020-02-15,Total,45.31996264925134,14332.619565217392,14778.423913043478
2020-02-16,Diesel,50.672659997657455,6671.91847826087,8571.95652173913
2020-02-16,Petrol,42.9678966850481,5856.809782608696,6052.728260869565
2020-02-16,Total,46.60293191251985,12528.71195652174,14624.690217391304
2020-02-17,Diesel,49.089296746563534,10874.146739130434,9737.059782608696
2020-02-17,Petrol,42.515323482542236,6959.211956521739,6569.190217391304
2020-02-17,Total,45.61073194842929,17833.418478260868,16306.228260869566
2020-02-18,Diesel,48.72473041437538,10785.402173913044,10386.298913043478
2020-02-18,Petrol,42.78966352603234,6770.858695652174,6915.369565217391
2020-02-18,Total,45.578339948721165,17556.228260869564,17301.652173913044
2020-02-19,Diesel,47.76771080038203,10840.603260869566,10081.076086956522
2020-02-19,Petrol,42.552227185554706,6891.565217391304,6612.516304347826
2020-02-19,Total,45.018689143353924,17732.195652173912,16693.603260869564
2020-02-20,Diesel,46.60423597275379,10963.282608695652,10065.646739130434
2020-02-20,Petrol,42.54520336189003,7076.614130434783,7010.929347826087
2020-02-20,Total,44.47115735257079,18039.875,17076.57608695652
2020-02-21,Diesel,45.69873859822476,11239.95652173913,10508.141304347826
2020-02-21,Petrol,41.7847944046554,7778.782608695652,7065.45652173913
2020-02-21,Total,43.64826556021537,19018.744565217392,17573.668478260868
